Name,Detailed Description
AutoCuttingHighlightVideo,"Automatically cutting the high light scene(kill eliminated defart splated) and create a video clip from your Playing Video Game Movie File(mp4).When you create a montage of game highlight scenes, you will be looking for the highlight scenes and making cut edits to the video. This software automatically edits the cut. This app automatically finds highlight scenes from gameplay videos with huge playback time and spits them out to mp4 files. Consider editing a 10 hour video. I think that just looking for the highlight scene will consume one day. With this software, you can let the application do other things by letting the application edit the cuts of the highlight scenes. The app has already finished the cut edits while you are dating, eating rice, and eating potato chips.Supported Games SplatoonApex Legends(beta)Games that will be supported in the future are as followsFortniteSplatoon3It may use NVENC technology from NVIDIA graphics cards. It can be used without this, but it can only support the baseline profile and main profile in mp4.(only limited encoding is possible in terms of license, not technically).The trial version will be exported in 144p."
Bouncing Traveler,"  Bouncing Traveler   - a platformer game for accuracy, made in 3D graphics.In the game, you have to control the ball, which must jump on platforms to reach the teleport. On the way, you will come across various traps and dangers that you will have to bypass and overcome, along the way collecting coins that will be useful to you in the future. Help the ball get to the last teleport, overcoming bad weather, traps and dangers! "
Tiger Tank 59� Battleship MP006,"About
&quot;Tiger Tank 59&quot; is a top-down shooting game
In this game , Players need to control their tanks,
through the enemy lines, break the enemy base,
or defeat the enemy tanks

The DLC include map pack 006"
LET IT DIE -(Special)10 Death Metals- 032,"(Special)10 Death Metals

Special offer: one chance per person!
You can use these 10 Death Metal to continue your game after your die, and expand your storage among other things.


10 Death Metals


*This content can only be purchased once.
*If you didn't purchase your additional items in-game from Direct Hell, please restart your game to receive your items.
*Other than Death Metal, the items obtained in this content will be sent to your in-game Rewards Box once purchased.
*If your Rewards Box has 50 or more items in it, you will be able to claim your purchased items when the amount of items in the box drops below 50.
*If you already have the maximum amount of Kill Coins, you will not be able to take Kill Coins out of your Rewards Box."
Nox Archaist Book of Hints,"The Book of Hints contains everything you need to fully enjoy and complete the game of Nox Archaist. Designed for both novice and experienced players, this digital download is packed with information. The download includes:176-page eBook/PDFProgressive hints to avoid spoilersWalkthrough for each questFull game walkthroughTips &amp; tricks for both first-time and replayDetails and locations of castles, towns, and moreComplete list of books, scrolls, and quest itemsLocation of trainers and other helpful NPCsHidden treasures and secret passagewaysBehind-the-scenes trivia from the game creatorsComplete Set of MapsComplete of spoiler-free maps (in the eBook)Complete set of full-color maps, using the Nox Archaist tile setComplete set of spoiler maps showing monsters, treasure chests, and secret doorsJump start your game with the Book of Hints, and become a master of Nox Archaist!About the author: Andrew Schultz is the author of several text adventures as well as maps and walkthroughs of hundreds of classic computer games including Ultima, Dragon Wars, BardTale, and many others. The game maps are by Nox Archaist master @rikkles."
Demon city,"Hello everyone, this is a small RPG game, round fighting game

The combat mode adopts turn mode, so that you can not only experience the strike feeling of real-time combat, but also enjoy the skill combination strategy of turn mode.

This version of the game has completed the first phase of the content, about 20 minutes in length, the full version is about 2 hours, the follow-up should be issued in the form of DLC.

This is my first game, because the production is very immature, resulting in a lot of problems. Now the development has been suspended, but it will be completed later.

The Devil Castle is the place where the devil lives. It is a Fantasy Legend lost for thousands of years.

The protagonist inexplicably appears outside the demon castle, but there is no way out, and what is the front waiting for him?

In the face of a variety of enemies, difficulties, with scarce resources to start thinking about solutions to it!

Features of the game:

1. The repetition of enemy and event is low, and there are novel (items / treasure boxes) waiting to be explored in every corner of the map;

2. The setting of background and characters is rigorous and meticulous, expecting to show the story as if it were true;

3. In the face of difficulties, there are many solutions, which need to weigh the pros and cons, and carefully think about the steps forward."
The Secret Blue Forest,"The Secret Blue ForestA relaxing 3d platformer fantasy adventure.You awake to find bandits have stolen your fence and set your house on fire, the only solution you know is to travel to a different dimension where heat cannot survive and move it to your home, perhaps it will teach those bandits a lesson in the process.You play as  an Ice Sorcerer whose magic has a connection to the Ice forest, you're the only one who doesn't seem to be warped by the Ice forests magic, this allows you to create slippery ice, shoot ice shards, double jump and move boxes at range.In The way of your adventure you will find animals and enemies that will try to kill you in different ways, some much stronger than others, all of these will be  warped and changed in the Ice dimension, changing their power.Along the way you will find your dog companion who knows the location of all the secret keys in order to enter the Ice Forest control room."
DIRT 5 - Super Size Content Pack,"The Super Size Content Pack certainly lives up to its name, with four huge off-road machines ready to take on all terrain and all challengers. First up, our cover star: the Bentley Continental GT Ice Racer. Don’t be fooled by the name – whilst this Ice Racer will indeed be right at home on sub-zero surfaces at New York, Norway, and Nepal, this 626bhp monster will tear up all surfaces in DIRT 5 on its 22-inch rims; a perfect blend of class and performance, taken to the extreme.Whilst the Bentley joins the Rally GT class, the Armada Rock Racer is our second entry to DIRT 5’s monstrous Rock Bouncer class. This intimidating machine, with huge ridged tyres and minimal chassis, is built to take on our most dangerous terrain in point-to-point Path Finder events. For the Cross Raid class comes the Volkswagen Atlas Cross Sport Baja Concept – The Atlas has the power and endurance to conquer any off-road challenge, being a suped-up race version of the already-mighty crossover VW. Finally, a truly unique all-terrain option for your DIRT 5 garage: the Rezvani Tank. With its roots beginning with a Jeep Wrangler, the Rezvani takes everything up a notch: Power (over 1000bhp!), bodywork (bulletproof armour!) and insane ridged tyres. Head to the Pre-Runner class to try and tame the Tank.The Super Size pack further expands DIRT 5’s Career mode with another 25 bespoke events to take on in a new chapter. Also, Two more sponsors – Toblerone and Power Maxed – are available to sign for and earn exclusive rewards for, including liveries, by completing their objectives. More customisation items also arrive in the Super Size Content Pack, such as stickers, lanyards, and more patterns for custom liveries. To use the content within this pack, you must own DIRT 5. This pack is included as an entitlement for Amplified Edition and Year One Upgrade / Edition owners."
Play With Gilbert - Unicorn Supporter Pack,"Play as a cute magical plush Unicorn come to life with this Unicorn Supporter Pack! Two little unicorn player characters will be unlocked in the base game and they have their own unique talents. Unicorns can float without the use of a glider and when you use the magic from their horns, you will be able to use uni-sense. an advanced version of kitty-sense and also make objects float towards you from a short distance. This makes collecting objects so much easier!This pack was created for long time users and newcomers to help support me, the developer! Since the remake is completely free, some of the community members expressed their wish to be able to support me further and with this pack you can do if you want to.What's in this pack?A unique unicorn for each playerUnicorns have their own special abilities such as hovering and uni-sense!My immense gratitude for further supporting myself and the game"
Chuhou Joutai 2: Paraided!,"The true strength of The Real Driller is his wisdom.A few months have passed since Frederic Sam Fawkes' fall. Has his soul returned from the Netherworld? Now, a curse has struck Kozankyo and SPASDOT wants Kozan's beloved Crown Princess to vanish. Should it happen, SPASDOT will plague Kozan through communist domination. Hope will rest on the Kozanese Royal Defense Force recruits Susumu Takajima and Kagami Ochiai, who are now searching for an ancient relic for the Crown Princess, but SPASDOT wants to make them die trying. Your ultimate strength can't come from your might, but your mind.Chuhou Joutai is back for a whole new adventure. You won't be exploring just Kozankyo, but nearby cities as well. The new swaths of danmaku will challenge your reflexes to another level. New enemies, including mythical creatures and Crimsonite types are also here to challenge you as well. Need something to get or to take a breather? Just go to a convenience store or dine out at a sushi bar to see what they offer. If you fail to collect the newtons or ingots from thumped foes, you won't receive clues from the townsfolk for ways to confront the Scarlet Devil again.FeaturesRetro-style graphics influenced by the golden era of arcade gamesTwo playable characters with an amazing two-player modeSimplified gameplay for newcomers, as well as easy to learn and intuitive controlsHilarious dialogue with a new and improved art style"
