Name,Detailed Description,Genres
Neon Sun,"DescriptionThis story has been going on for millennia. This story is about a war, a war that is necessary to deserve the favor of God. Each of the soldiers is ready to die today for the sake of his love. To perish on the battlefield under the face of the Neon Sun is the greatest happiness for any of the warriors of the two pyramids.Fight for you die, fight for it is all that you have.You have to repel countless attacks of the enemy, and the further you advance, the more difficult it will be for you to do it. At your disposal is the whole army of the pyramid and its main weapon - the ray of death. Collect the gifts that Neon Sun gives you, which means that he is pleased with you and he likes everything that you do. You have only one life, only one chance to prove to Neon Sun your devotion.Features: Classic linear TD; Cool music;Several types of weapons (infantry, tanks, a ray of death); Infinite gameplay;Opportunity to fight and perish for the Neon Sun; To plunge into the routine of the army through neon allusion to a meaningless and cruel reality.","['Casual', 'Indie', 'Simulation', 'Strategy']"
Tiger Hunt,"The highly appraised sequel to Tiger Hunt with over 50 new missions!  Roll over a decimated Europe during WWII with your american armored division. Fight everything in the German arsenal including the most notorious and lethal tanks such as Tigers and Panthers. Battle through over 50 brand new missions in a fast paced arcade-style shooter. Drive and fight rival tanks, destroy enemy positions and engage in ferocious firefights. 

Features:

- Built in the same engine as Tiger Hunt with over 50 brand new missions.
- Easy to use game controls gets you right into the action.
- Unique and accurate characteristics for each tank and vehicle with realistic physics and motions.
- Drive and fight with sherman's, Pershing's, half-tracks, jeeps as well as captured enemy tanks.
- Day and night fighting in different weather conditions.
- Call in the air support to take out enemy targets","['Action', 'Casual', 'Simulation']"
DYO,"DYO is an award-winning local co-op puzzle platformer for one or two players in which you navigate two Minotaurs through a seemingly impassable maze and solve mind-bending puzzles. Each Minotaur is trapped in their half of the split screen – but only in a combined effort can they escape the cursed labyrinth.In this impossible maze, you can merge both halves of the split screen into one and thus hop from one side of the screen over to the other. Use this ability to your advantage! Its up to you to rearrange and manipulate the level structures of 30 carefully crafted levels in order to carve out a path to the exit. Many have tried to figure out the numerous mind-boggling challenges hidden in the depths of this cursed labyrinth. Will you be the first to solve them?Team DYODYO started out as a holiday project of four Game Design students in 2014. Since then, DYO has come a long way: Its 2018 and after winning several awards and having been exhibited all over the worldDYO is now finally available on Steam. So grab a copy, grab a friend and get ready for 30 levels of mind-bending puzzle action!FeaturesGood old local co-op fun for 1 or 2 players.Merge and split your screens to manipulate the level around you.No precision platforming. No enemies. No timers. Just you and your brains.30 levels (3-4 hours of playtime) of mind-bending puzzles and more to come.Find multiple solutions to each level (some of which not even the devs might know of).Don't have two controllers to play with your friend? You can also play on one shared controller!RecommendationFor the best DYO experience, we recommend playing with a friend!","['Free to Play', 'Indie']"
Insectophobia : Episode 1,"Erzurum is OutAbout the GameJohn Benton is a technician. He is sent to a research facility in a deserted island to fix communication lines because no one in the island can be reached. When he arrives at the island, he realizes the truth is different than he's told.   Insectophobia is an episodic platformer. It's the story of John and his struggle against monster insects. There are 4 episodes in total and the first episode tells how they turn into monsters.   Features of Episode 1* 1920*1080 Full HD graphics.* 2 weapons : Pistol and shotgun.* 4 kinds of monster insects.* Find your way either by killing them or avoiding them.","['Action', 'Adventure', 'Indie']"
Headsnatchers,"Hold onto your head with Headsnatchers, a stupidly hectic up-to-4-player local and online multiplayer party-game where you snatch your friends heads to come out victorious. Because, lets face it, youll do anything to win.LOCAL AND ONLINE MULTIPLAYER, BUT SUPER WEIRDChallenge your friends to insane brawls, where the goal is to pluck heads from shoulders and use them to get that much-desired victory! Headsnatchers has 25 ridiculous maps with unique, yet unlikely, weapons and features, with their own steps and rules to follow. Well, theyre more like guidelines. Nobody likes rules. Dunk your buddies heads through hoops like LeBron, kick your grandpas gobbler through a portal to hell like Doom and flush your sisters brain-basket down the toilet like the dooky you pushed out five hours after you shoved that XL pizza down your face. You name it, Headsnatchers has got it. Probably.OFF WITH THEIR (100+) HEADSBecause apparently kids nowadays are all about self-expression and unique identifiers, we felt we couldnt stay behind the times. With over 100 unique heads to choose from, theres a head for everyone. Did we mention there are pop culture references? Theres a head that resembles that one angry guy from that anime you used to love, and one from a children's show with a certain mathematically challenged Count. If you dont like any of those, make your own heads using the Headitor! You can save up to 20 heads, so go nuts trying to recreate those school dweebs who used to pick you last for gym.A SINGLE-PLAYER MODE MADE JUST FOR YOUSometimes you just need a little me-time - we totally get it. Rip it up in the single-player Zombie Castle-mode! This single-player feature spans across three different difficulty levels. “But, my dudes, every game has multiple difficulties nowadays”, we hear you thinking. Zombie Castle is different throughout its easy, normal and hard modes. Different levels, different everything, same zombies. We're calling it right now: you cant beat them all. Probably.OBLIGATORY KEY FEATURE BULLET POINTSWe’re sorry, but we just have to go over all of the features one last time. Okay, ready?Local and online* multiplayer, support up to 4 players4 game modes and 25 unique levelsZombie Castle single-player mode, for when you really need some me-timeChoose from 100 headsA limitless custom head creator* (yes, were calling it the Headitor, and theres nothing you can do about it) that allows you to save up to 20 custom heads*","['Action', 'Casual', 'Indie', 'Sports']"
DON'T touch the walls,"In a world where over fishing, coral bleaching and walls have stripped the world's oceans of 99 of marine life, one lone fish makes it his sole mission to swim through the spike ball and wall infested waters to attempt to find another fish to breed with to keep his population going. In DON'T touch the walls, you play as this fish, swimming left and right, dodging terrifying obstacles. But what's that in the distance? Danger lurks.

Spectacular graphics. Addictive gameplay. No music. One sound effect. A game truly made for this platform.",['Action']
Crimson Gray,"John is a young man suffering from severe depression. As he loses his sense of purpose in life, he begins to see the world in unfocused gray. Just when he begins to lose all hope, John meets a girl... a very special girl.

Though Lizzie appears affectionate and devoted, it quickly becomes clear that she's so violent and unstable that a normal boy would run away from her. But when John sees her, he sees someone else suffering from a mental condition. John is willing to risk his safety for a chance to help Lizzie gain some mental stability. Lizzie is willing to murder everyone in school if she believes it would make him happy.

Your every choice will impact both characters' mental states, changing their fate. John might reject Lizzie, succumb to his depression, or die violently. Lizzie might lose control and ruin her chances, or become obsessed with shadowy conspiracies that may or may not exist. Or just maybe the two of them might be exactly what the other needs, and their story could end in happiness...

Crimson Gray is a psychological thriller, exploring the psyches of the characters and the strange circumstances that brought them together. It  has a focus on subtle actions having consequences, your choices impacting the characters' mental stability in ways that could make choices down the line have very different results.","['Adventure', 'Indie', 'Simulation']"
GLAD VALAKAS SIMULATOR,"GLAD VALAKAS SIMULATOR is a game about the most famous Russian streamer. You need to live 10 days in the image for the protagonist of the game.
- 4 mini-games with endless gameplay
- Interesting soundtrack
- Every day a new anecdote and a new series about a lawyer
- Steam Achievements
Control in mini-games: space bar, arrows
Credits: This game was created using Clickteam Fusion 2.5!","['Adventure', 'Casual', 'Indie', 'Simulation']"
Red Embrace,"&quot;There are lots of predators out there... stalkers who'd just love to have a taste of someone like you...&quot;The graveyard shift at a dingy diner in San Francisco -- that's where MC's story begins. It's just another normal night, or at least it seems to be. ...That is, until a certain mysterious customer stops by, bringing the dangerous attention of a few people with him. When it rains, it pours, and suddenly MC finds himself in the middle of a war he didn't even know existed... between vampires.How does MC react to the dark, violent world that opens up before him? That's up to you!► Genre: Drama, BxB romance, dark modern► Length: ~60,000 words► Endings: 8 (4 good, 4 bad)► Changeable MC personality &amp; interests► Different dialogue &amp; choices based on personality► 11 track OST with a dark, urban vibe► 14 CGsArgent Games is a 2-person team comprised of Dovah (writer/programmer/designer) and Gamma (producer/manager). After bonding together over a shared love of things such as games, anime, and Yaoi, we formed Argent Games in 2016. We have two other BL games available on Steam -- Requiescence and Chess of Blades!Red Embrace is the third Boy's Love (or yaoi) mystery/romance visual novel game developed by Argent Games, and many more are planned in the future!",['Casual']
Mahjong Masters: Temple of the Ten Gods,"The Northern kingdoms are at war which can only be stopped by divine intervention. The last survivor of the line of Amathean priests had a task to construct the ancient Temple of the Ten Gods and invoke the deities. Play numerous Mahjong Solitaire boards to collect the resources needed to construct the vast temple complex. Play the Mahjong Number Sum mini game to invoke the Gods. Return the Temple of the Ten Gods to its former glory!


- A Mahjong Solitaire game with numerous layouts. A new tile layout every time.
- An additional mode of game play with the new Mahjong Number Sum mini game 
- Make pair matches and collect the resources to construct the temple.
- Rechargeable hints and magic eye power boosters
- Shuffle tiles option",['Casual']
